time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
23:03.9,23.32036316,23.19533038,72.39337758,1016.465964,-26.74,0.78,FALSE,,
23:04.1,23.32036316,23.18735565,72.37506676,1016.460916,-26.7,2.51,FALSE,,
23:04.2,23.33371481,23.19533038,72.37659266,1016.507137,-27.08,1.7,FALSE,,
23:04.4,23.33371481,23.19533038,72.38574807,1016.492165,-26.96,1.65,FALSE,,
23:04.5,23.33371481,23.19533038,72.37659266,1016.495908,-26.99,0.92,FALSE,,
23:04.7,23.33371481,23.19533038,72.38574807,1016.495908,-26.99,0,FALSE,,
23:04.8,23.32036316,23.20330474,72.36285954,1016.515927,-27.15,0,FALSE,,
23:05.0,23.33371481,23.20330474,72.36743725,1016.508441,-27.09,0.19,FALSE,,
23:05.1,23.32036316,23.21127873,72.36285954,1016.52846,-27.26,0.4,FALSE,,
23:05.3,23.33371481,23.19533038,72.33844511,1016.484679,-26.9,0.73,FALSE,,
23:05.4,23.33371481,23.20330474,72.35828183,1016.519671,-27.19,1.71,FALSE,,
23:05.6,23.30701152,23.20330474,72.3338674,1016.508441,-27.09,0.82,FALSE,,
23:05.7,23.30701152,23.19533038,72.34302281,1016.480936,-26.86,0.92,FALSE,,
23:05.9,23.33371481,23.18735565,72.34912642,1016.430973,-26.45,0,FALSE,,
23:06.0,23.30701152,23.19533038,72.36133364,1016.533338,-27.3,0,FALSE,,
23:06.2,23.32036316,23.19533038,72.35675593,1016.488422,-26.93,0.48,FALSE,,
23:06.4,23.32036316,23.17938055,72.34760052,1016.414695,-26.31,1.56,FALSE,,
23:06.5,23.33371481,23.19533038,72.37659266,1016.462221,-26.71,1.79,FALSE,,
23:06.7,23.32036316,23.17938055,72.32623789,1016.410952,-26.28,1.65,FALSE,,
23:06.8,23.33371481,23.19533038,72.35828183,1016.458478,-26.68,1.41,FALSE,,
23:07.0,23.32036316,23.19533038,72.34760052,1016.454735,-26.65,0.24,FALSE,,
23:07.1,23.32036316,23.19533038,72.3353933,1016.447249,-26.58,0,FALSE,,
23:07.3,23.30701152,23.18735565,72.3338674,1016.430973,-26.45,0.05,FALSE,,
23:07.4,23.30701152,23.19533038,72.34302281,1016.465964,-26.74,0.38,FALSE,,
23:07.6,23.30701152,23.19533038,72.34302281,1016.488422,-26.93,0.78,FALSE,,
23:07.7,23.32036316,23.18735565,72.31708248,1016.45343,-26.64,1.79,FALSE,,
23:07.9,23.32036316,23.19533038,72.32623789,1016.492165,-26.96,1.68,FALSE,,
23:08.0,23.33371481,23.19533038,72.34912642,1016.480936,-26.86,1.54,FALSE,,
23:08.2,23.30701152,23.19533038,72.36133364,1016.484679,-26.9,0.4,FALSE,,
23:08.3,23.32036316,23.19533038,72.34760052,1016.450992,-26.62,0,FALSE,,
23:08.5,23.32036316,23.18735565,72.34760052,1016.460916,-26.7,0.06,FALSE,,
23:08.6,23.30701152,23.17938055,72.35217823,1016.444637,-26.56,0.21,FALSE,,
23:08.8,23.33371481,23.19533038,72.34912642,1016.488422,-26.93,1.17,FALSE,,
23:08.9,23.30701152,23.18735565,72.31250477,1016.502088,-27.04,0.05,FALSE,,
23:09.1,23.30701152,23.18735565,72.3338674,1016.449687,-26.6,1.62,FALSE,,
23:09.2,23.32036316,23.19533038,72.34760052,1016.492165,-26.96,1.02,FALSE,,
23:09.4,23.33371481,23.18735565,72.36743725,1016.475888,-26.82,0,FALSE,,
23:09.5,23.30701152,23.20330474,72.34302281,1016.478497,-26.84,0,FALSE,,
23:09.7,23.33371481,23.19533038,72.33081559,1016.529595,-27.27,0.17,FALSE,,
23:09.9,23.32036316,23.19533038,72.34760052,1016.488422,-26.93,0.34,FALSE,,
23:10.0,23.33371481,23.19533038,72.36743725,1016.492165,-26.96,0.86,FALSE,,
23:10.2,23.33371481,23.20330474,72.33844511,1016.504698,-27.06,1.74,FALSE,,
23:10.3,23.29098955,23.19533038,72.34912642,1016.495908,-26.99,1.62,FALSE,,
23:10.5,23.30701152,23.18735565,72.35217823,1016.408515,-26.26,0.5,FALSE,,
23:10.6,23.30701152,23.19533038,72.3338674,1016.480936,-26.86,0,FALSE,,
23:10.8,23.30701152,23.18735565,72.32471199,1016.472145,-26.79,0.03,FALSE,,
23:10.9,23.30701152,23.18735565,72.36133364,1016.460916,-26.7,0.8,FALSE,,
23:11.1,23.30701152,23.20330474,72.34302281,1016.515927,-27.15,1.23,FALSE,,
23:11.2,23.32036316,23.19533038,72.3353933,1016.503394,-27.05,0.89,FALSE,,
23:11.4,23.32036316,23.19533038,72.34760052,1016.492165,-26.96,1.66,FALSE,,
23:11.5,23.32036316,23.20330474,72.3353933,1016.489726,-26.94,1.56,FALSE,,
23:11.7,23.30701152,23.19533038,72.38117037,1016.454735,-26.65,0.5,FALSE,,
23:11.8,23.30701152,23.19533038,72.34302281,1016.40982,-26.27,0,FALSE,,
23:12.0,23.29098955,23.19533038,72.35675593,1016.47345,-26.8,0.06,FALSE,,
23:12.1,23.32036316,23.19533038,72.34760052,1016.507137,-27.08,0.5,FALSE,,
23:12.3,23.29098955,23.20330474,72.36743725,1016.500955,-27.03,1.65,FALSE,,
23:12.4,23.32036316,23.18735565,72.37506676,1016.472145,-26.79,2.57,FALSE,,
23:12.6,23.30701152,23.19533038,72.37201495,1016.477193,-26.83,0.77,FALSE,,
23:12.7,23.32036316,23.19533038,72.37506676,1016.469707,-26.77,1.17,FALSE,,
23:12.9,23.29098955,23.20330474,72.35675593,1016.508441,-27.09,0.06,FALSE,,
23:13.0,23.2776379,23.19533038,72.35370413,1016.518366,-27.18,0.78,FALSE,,
23:13.2,23.30701152,23.19533038,72.38117037,1016.443507,-26.55,0.11,FALSE,,
23:13.4,23.32036316,23.19533038,72.37506676,1016.484679,-26.9,0.59,FALSE,,
23:13.5,23.32036316,23.19533038,72.3353933,1016.477193,-26.83,0.8,FALSE,,
23:13.7,23.30701152,23.19533038,72.37201495,1016.462221,-26.71,1.65,FALSE,,
23:13.8,23.30701152,23.19533038,72.36133364,1016.492165,-26.96,1.51,FALSE,,
23:14.0,23.29098955,23.19533038,72.33997101,1016.480936,-26.86,0.27,FALSE,,
23:14.1,23.29098955,23.20330474,72.35675593,1016.504698,-27.06,0,FALSE,,
23:14.3,23.32036316,23.19533038,72.36285954,1016.507137,-27.08,0.09,FALSE,,
23:14.4,23.30701152,23.17938055,72.38117037,1016.489551,-26.94,0.24,FALSE,,
23:14.6,23.25093462,23.17938055,72.33997101,1016.470837,-26.78,1.25,FALSE,,
23:14.7,23.29098955,23.17938055,72.35675593,1016.463352,-26.72,0.77,FALSE,,
23:14.9,23.30701152,23.19533038,72.37201495,1016.518366,-27.18,1.66,FALSE,,
