time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
39:29.6,22.52994583,22.36396097,69.43770504,1017.194734,-32.79,0,FALSE,,02:41:08點火
39:29.8,22.48722057,22.37197432,69.41786831,1017.162618,-32.52,1.62,FALSE,,02:42:41熄火
39:29.9,22.50057221,22.35594723,69.41939422,1017.140922,-32.34,2.47,FALSE,,
39:30.1,22.48722057,22.37197432,69.39955749,1017.192506,-32.77,1.54,FALSE,,
39:30.2,22.50057221,22.3799873,69.41329061,1017.208957,-32.91,0.09,FALSE,,
39:30.4,22.50057221,22.36396097,69.41939422,1017.146167,-32.39,0,FALSE,,
39:30.5,22.50057221,22.36396097,69.40413519,1017.116279,-32.14,0.17,FALSE,,
39:30.7,22.51659419,22.36396097,69.43312734,1017.105071,-32.05,1.23,FALSE,,
39:30.8,22.50057221,22.3799873,69.41939422,1017.171596,-32.6,1.74,FALSE,,
39:31.0,22.51659419,22.36396097,69.4056611,1017.120015,-32.17,1.62,FALSE,,
39:31.1,22.50057221,22.36396097,69.41329061,1017.086391,-31.89,0.87,FALSE,,
39:31.3,22.48722057,22.35594723,69.39955749,1017.081147,-31.85,0,FALSE,,
39:31.4,22.50057221,22.36396097,69.40413519,1017.138695,-32.32,0.05,FALSE,,
39:31.6,22.50057221,22.38799989,69.43160143,1017.206725,-32.89,0.46,FALSE,,
39:31.7,22.50057221,22.36396097,69.39192798,1017.161111,-32.51,0.63,FALSE,,
39:31.9,22.50057221,22.3799873,69.41939422,1017.149179,-32.41,1.65,FALSE,,
39:32.1,22.51659419,22.3799873,69.38735027,1017.205221,-32.88,0.71,FALSE,,
39:32.2,22.50057221,22.35594723,69.37361715,1017.084883,-31.88,0,FALSE,,
39:32.4,22.48722057,22.3799873,69.36903944,1017.149179,-32.41,0.09,FALSE,,
39:32.5,22.48722057,22.37197432,69.38124666,1017.162618,-32.52,1.47,FALSE,,
39:32.7,22.48722057,22.36396097,69.36903944,1017.123751,-32.2,1.68,FALSE,,
39:32.8,22.48722057,22.3799873,69.35378042,1017.171596,-32.6,0.08,FALSE,,
39:33.0,22.51659419,22.35594723,69.34920272,1017.054996,-31.63,0.06,FALSE,,
39:33.1,22.48722057,22.35594723,69.35378042,1017.084883,-31.88,0.46,FALSE,,
39:33.3,22.51659419,22.37197432,69.36751354,1017.162618,-32.52,0.82,FALSE,,
39:33.4,22.50057221,22.36396097,69.32784009,1017.123751,-32.2,0.63,FALSE,,
39:33.6,22.47386893,22.3799873,69.32173648,1017.171596,-32.6,1.65,FALSE,,
39:33.7,22.48722057,22.36396097,69.34157321,1017.123751,-32.2,1.33,FALSE,,
39:33.9,22.48722057,22.36396097,69.31410697,1017.131223,-32.26,0,FALSE,,
39:34.0,22.48722057,22.35594723,69.34157321,1017.137186,-32.31,0.14,FALSE,,
39:34.2,22.48722057,22.37197432,69.31410697,1017.173826,-32.62,1.14,FALSE,,
39:34.3,22.50057221,22.36396097,69.29884794,1017.149903,-32.42,1.7,FALSE,,
39:34.5,22.48722057,22.3799873,69.266804,1017.220165,-33,0.82,FALSE,,
39:34.6,22.47386893,22.36396097,69.28206302,1017.142431,-32.36,1.04,FALSE,,
39:34.8,22.50057221,22.35594723,69.30800336,1017.144658,-32.37,0,FALSE,,
39:35.0,22.47386893,22.35594723,69.28206302,1017.107299,-32.06,0.76,FALSE,,
39:35.1,22.47386893,22.35594723,69.29121843,1017.140922,-32.34,1.71,FALSE,,
39:35.3,22.48722057,22.35594723,69.28664073,1017.107299,-32.06,0.08,FALSE,,
39:35.4,22.50057221,22.35594723,69.28969253,1017.148394,-32.41,0.46,FALSE,,
39:35.6,22.48722057,22.37197432,69.27748531,1017.192506,-32.77,0.46,FALSE,,
39:35.7,22.48722057,22.35594723,69.30495155,1017.099827,-32,0.06,FALSE,,
39:35.9,22.48722057,22.35594723,69.29427024,1017.137186,-32.31,1.26,FALSE,,
39:36.0,22.48722057,22.34793311,69.27748531,1017.105788,-32.05,0.46,FALSE,,
39:36.2,22.47386893,22.36396097,69.27290761,1017.120015,-32.17,1.62,FALSE,,
39:36.3,22.47386893,22.36396097,69.27290761,1017.116279,-32.14,0.46,FALSE,,
