time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
56:15.7,23.26428626,22.79613969,62.89158465,1016.394746,-26.15,0.48,FALSE,,01:58:46ÂI¤õ
56:15.8,23.26428626,22.79613969,62.93278401,1016.372308,-25.96,0,FALSE,,02:01:32º¶¤õ
56:16.0,23.2776379,22.78814637,62.91447318,1016.344736,-25.73,0.06,FALSE,,
56:16.1,23.26428626,22.78814637,62.91294728,1016.344736,-25.73,0.48,FALSE,,
56:16.3,23.25093462,22.78814637,62.93125811,1016.326039,-25.58,1.58,FALSE,,
56:16.4,23.2776379,22.78015267,62.89463645,1016.354558,-25.81,0.81,FALSE,,
56:16.6,23.2776379,22.78814637,62.9266804,1016.355955,-25.83,1.47,FALSE,,
56:16.7,23.26428626,22.79613969,62.94193942,1016.394746,-26.15,0.88,FALSE,,
56:16.9,23.26428626,22.78015267,62.93278401,1016.328382,-25.6,0,FALSE,,
56:17.1,23.2776379,22.78814637,62.95567254,1016.355955,-25.83,0.11,FALSE,,
56:17.2,23.2776379,22.78814637,62.94499123,1016.374653,-25.98,0.71,FALSE,,
56:17.4,23.26428626,22.79613969,62.9236286,1016.349871,-25.78,0.62,FALSE,,
56:17.5,23.2776379,22.78015267,62.95567254,1016.328382,-25.6,0.75,FALSE,,
56:17.7,23.26428626,22.78015267,62.93278401,1016.320903,-25.54,0.22,FALSE,,
56:17.8,23.25093462,22.78814637,62.95109483,1016.359694,-25.86,0,FALSE,,
56:18.0,23.2776379,22.78015267,62.96482795,1016.347079,-25.75,0.07,FALSE,,
56:18.1,23.25093462,22.78015267,62.96940566,1016.347079,-25.75,1.37,FALSE,,
56:18.3,23.25093462,22.78015267,62.94041352,1016.320903,-25.54,0.89,FALSE,,
56:18.4,23.26428626,22.79613969,63.00450141,1016.398485,-26.18,1.33,FALSE,,
56:18.6,23.26428626,22.78015267,62.96330205,1016.332121,-25.63,0.17,FALSE,,
56:18.7,23.26428626,22.78814637,62.99229419,1016.363434,-25.89,0,FALSE,,
56:18.9,23.25093462,22.78814637,62.99076829,1016.39335,-26.14,0.17,FALSE,,
56:19.0,23.25093462,22.78814637,62.98161288,1016.352215,-25.8,1.56,FALSE,,
56:19.2,23.25093462,22.78814637,62.98161288,1016.359694,-25.86,0.88,FALSE,,
56:19.3,23.25093462,22.78015267,62.98161288,1016.350819,-25.78,0.59,FALSE,,
56:19.5,23.26428626,22.78015267,62.98313878,1016.350819,-25.78,0,FALSE,,
56:19.6,23.25093462,22.78814637,63.01060502,1016.363434,-25.89,0.03,FALSE,,
56:19.8,23.26428626,22.79613969,63.01365682,1016.394746,-26.15,0.41,FALSE,,
56:20.0,23.25093462,22.79613969,63.01060502,1016.409704,-26.27,1.68,FALSE,,
56:20.1,23.26428626,22.78814637,63.01365682,1016.374653,-25.98,1.45,FALSE,,
56:20.3,23.25093462,22.78814637,63.01976043,1016.385871,-26.07,0.3,FALSE,,
56:20.4,23.25093462,22.78015267,63.03196765,1016.324642,-25.57,0,FALSE,,
56:20.6,23.221561,22.78015267,63.02433814,1016.391953,-26.13,0.05,FALSE,,
56:20.7,23.23491264,22.78814637,63.04722667,1016.378392,-26.01,0.69,FALSE,,
56:20.9,23.25093462,22.78814637,63.05027848,1016.385871,-26.07,1.58,FALSE,,
56:21.0,23.23491264,22.78814637,63.05638209,1016.370913,-25.95,0.46,FALSE,,
56:21.2,23.23491264,22.79613969,63.05638209,1016.376048,-25.99,0,FALSE,,
56:21.3,23.23491264,22.78015267,63.07774472,1016.3396,-25.69,0.03,FALSE,,
56:21.5,23.25093462,22.78814637,63.11131456,1016.374653,-25.98,0.21,FALSE,,
56:21.6,23.221561,22.78814637,63.10521096,1016.39335,-26.14,1.33,FALSE,,
56:21.8,23.221561,22.78015267,63.07469291,1016.317164,-25.5,1.58,FALSE,,
56:21.9,23.23491264,22.78015267,63.10673686,1016.350819,-25.78,0.93,FALSE,,
56:22.1,23.23491264,22.7721586,63.08690013,1016.341941,-25.71,0,FALSE,,
56:22.2,23.23491264,22.7721586,63.11589227,1016.308287,-25.43,0.03,FALSE,,
56:22.4,23.221561,22.76416416,63.09300374,1016.306887,-25.42,0.24,FALSE,,
56:22.6,23.23491264,22.78015267,63.09605554,1016.332121,-25.63,1.47,FALSE,,
56:22.7,23.19485771,22.78015267,63.10063325,1016.34334,-25.72,1.56,FALSE,,
56:22.9,23.20820935,22.78015267,63.09147784,1016.362037,-25.88,0.65,FALSE,,
56:23.0,23.20820935,22.7721586,63.1326772,1016.341941,-25.71,0,FALSE,,
56:23.2,23.221561,22.76416416,63.11436637,1016.333063,-25.64,0,FALSE,,
56:23.3,23.23491264,22.76416416,63.10673686,1016.351759,-25.79,0.21,FALSE,,
56:23.5,23.23491264,22.76416416,63.10673686,1016.355499,-25.82,0.72,FALSE,,
56:23.6,23.20820935,22.75616934,63.15251392,1016.324182,-25.56,1.56,FALSE,,
56:23.8,23.20820935,22.7721586,63.14183261,1016.375596,-25.99,0.73,FALSE,,
56:23.9,23.20820935,22.76416416,63.15251392,1016.392892,-26.13,0,FALSE,,
56:24.1,23.20820935,22.75616934,63.1326772,1016.398968,-26.18,0.06,FALSE,,
56:24.2,23.17883574,22.7721586,63.10673686,1016.383075,-26.05,0.44,FALSE,,
56:24.4,23.221561,22.76416416,63.12504768,1016.329323,-25.61,1.56,FALSE,,
